"customerid","recencydays","totalorders","totalspent","customersegment"
13223,201,2,163.20,"Lost / Inactive"
13224,61,2,2155.95,"Lost / Inactive"
13225,4,7,6463.84,"Champions"
13226,274,1,108.21,"Lost / Inactive"
13227,202,1,257.70,"Lost / Inactive"
13228,82,1,358.00,"Lost / Inactive"
13229,226,1,160.95,"Lost / Inactive"
13230,5,14,2806.97,"Champions"
13232,13,7,1357.60,"Champions"
13233,75,2,605.12,"Lost / Inactive"
13235,213,1,1031.07,"Lost / Inactive"
13236,25,2,744.85,"New / Recent Customers"
13238,18,4,700.73,"Loyal Customers"
13239,262,1,329.56,"Lost / Inactive"
13240,97,4,663.65,"At Risk Customers"
13242,113,3,270.40,"At Risk Customers"
13243,204,1,600.07,"Lost / Inactive"
13244,93,1,121.74,"At Risk Customers"
13245,51,1,430.50,"Lost / Inactive"
13246,19,6,1987.30,"Champions"
13247,18,4,501.12,"Loyal Customers"
13248,125,2,465.68,"At Risk Customers"
13249,93,3,711.41,"At Risk Customers"
13253,157,2,1030.40,"At Risk Customers"
13255,10,2,399.51,"New / Recent Customers"
13258,12,3,698.58,"Loyal Customers"
13259,62,1,292.32,"Lost / Inactive"
13260,62,1,557.62,"Lost / Inactive"
13261,269,2,944.10,"Lost / Inactive"
13262,264,1,200.29,"Lost / Inactive"
13263,2,35,7454.07,"Champions"
13265,54,5,2107.66,"Loyal Customers"
13266,12,12,3834.26,"Champions"
13267,3,19,4521.49,"Champions"
13268,18,11,3214.69,"Champions"
13269,2,15,5346.23,"Champions"
13270,367,1,590.00,"Lost / Inactive"
13271,38,1,217.38,"Lost / Inactive"
13272,32,2,276.56,"Lost / Inactive"
13273,114,1,138.98,"At Risk Customers"
13276,64,2,590.93,"Lost / Inactive"
13277,16,4,258.40,"Loyal Customers"
13278,41,1,542.73,"Lost / Inactive"
13279,79,1,137.75,"Lost / Inactive"
13280,123,3,814.86,"At Risk Customers"
13282,19,3,1132.14,"Loyal Customers"
13283,60,2,93.66,"Lost / Inactive"
13284,331,1,201.19,"Lost / Inactive"
13285,24,4,2709.12,"Loyal Customers"
13291,156,1,361.11,"At Risk Customers"
13292,39,2,578.94,"Lost / Inactive"
13294,190,2,873.74,"Lost / Inactive"
13295,360,1,201.20,"Lost / Inactive"
13296,138,1,87.40,"At Risk Customers"
13297,8,4,2089.85,"Loyal Customers"
13298,2,1,360.00,"New / Recent Customers"
13299,269,1,142.50,"Lost / Inactive"
13300,170,1,371.89,"At Risk Customers"
13301,104,4,618.09,"At Risk Customers"
13302,156,1,63.75,"At Risk Customers"
13304,352,1,300.42,"Lost / Inactive"
13305,5,10,2000.86,"Champions"
13307,121,1,15.00,"At Risk Customers"
13308,23,3,1385.51,"Loyal Customers"
13309,8,5,1456.79,"Champions"
13310,29,3,1132.03,"Loyal Customers"
13311,5,2,598.57,"New / Recent Customers"
13313,23,5,1555.32,"Champions"
13314,2,3,775.94,"Loyal Customers"
13316,38,4,5977.73,"Loyal Customers"
13317,67,6,2273.68,"Loyal Customers"
13318,2,3,640.76,"Loyal Customers"
13319,6,26,10845.55,"Champions"
13320,79,4,1548.70,"Loyal Customers"
13321,73,2,567.36,"Lost / Inactive"
13322,18,1,199.48,"New / Recent Customers"
13323,4,5,787.85,"Champions"
13324,37,10,7121.95,"Loyal Customers"
13325,82,1,675.30,"Lost / Inactive"
13327,39,8,3627.77,"Loyal Customers"
13328,317,1,1308.48,"Lost / Inactive"
13329,32,2,789.00,"Lost / Inactive"
13330,93,3,1140.93,"At Risk Customers"
13332,15,1,350.90,"New / Recent Customers"
13334,83,3,3536.82,"Loyal Customers"
13336,78,1,795.12,"Lost / Inactive"
13338,158,1,487.02,"At Risk Customers"
13339,201,1,860.12,"Lost / Inactive"
13340,46,7,10736.48,"Loyal Customers"
13341,261,1,775.85,"Lost / Inactive"
13343,178,1,353.43,"At Risk Customers"
13344,68,3,2543.72,"Loyal Customers"
13345,288,1,389.50,"Lost / Inactive"
13347,71,1,341.36,"Lost / Inactive"
13348,65,1,233.76,"Lost / Inactive"
13349,11,1,247.32,"New / Recent Customers"
13350,17,2,979.12,"New / Recent Customers"
13351,67,1,373.94,"Lost / Inactive"
13352,61,1,397.98,"Lost / Inactive"
13354,72,1,743.53,"Lost / Inactive"
13355,123,1,674.70,"At Risk Customers"
13356,81,1,768.24,"Lost / Inactive"
13357,258,1,609.95,"Lost / Inactive"
13358,269,1,439.03,"Lost / Inactive"
13359,64,1,439.56,"Lost / Inactive"
13362,10,4,3090.74,"Loyal Customers"
13363,18,2,992.50,"New / Recent Customers"
13364,72,1,134.96,"Lost / Inactive"
13365,34,2,2225.37,"Lost / Inactive"
13366,51,1,56.16,"Lost / Inactive"
13368,257,2,623.40,"Lost / Inactive"
13369,366,1,308.28,"Lost / Inactive"
13370,372,1,754.87,"Lost / Inactive"
13372,90,1,378.64,"Lost / Inactive"
13373,61,3,3312.25,"Loyal Customers"
13375,89,1,778.65,"Lost / Inactive"
13376,100,3,1019.76,"At Risk Customers"
13379,27,3,572.56,"Loyal Customers"
13381,32,6,3639.31,"Loyal Customers"
13382,281,1,222.99,"Lost / Inactive"
13384,31,7,4151.93,"Loyal Customers"
13385,330,1,534.57,"Lost / Inactive"
13388,132,2,677.10,"At Risk Customers"
13389,12,3,797.96,"Loyal Customers"
13390,75,1,544.08,"Lost / Inactive"
13391,204,1,59.80,"Lost / Inactive"
13394,2,8,2520.02,"Champions"
13395,186,1,307.72,"Lost / Inactive"
13396,30,2,1360.99,"New / Recent Customers"
13397,73,5,1544.13,"Loyal Customers"
13398,193,1,457.34,"Lost / Inactive"
13402,128,2,621.23,"At Risk Customers"
13403,18,1,75.00,"New / Recent Customers"
13404,2,2,252.49,"New / Recent Customers"
13405,75,3,572.45,"Loyal Customers"
13408,2,62,28117.04,"Champions"
13410,25,5,1003.06,"Champions"
13411,108,1,213.55,"At Risk Customers"
13414,134,3,1390.50,"At Risk Customers"
13416,44,2,712.50,"Lost / Inactive"
13417,5,2,640.83,"New / Recent Customers"
13418,12,18,6127.43,"Champions"
13419,64,1,221.06,"Lost / Inactive"
13420,150,2,159.85,"At Risk Customers"
13421,41,2,1851.08,"Lost / Inactive"
13422,65,1,2626.30,"Lost / Inactive"
13425,109,3,1624.21,"At Risk Customers"
13426,1,10,3641.32,"Champions"
13427,20,3,582.60,"Loyal Customers"
13428,11,1,218.47,"New / Recent Customers"
13429,11,4,1006.80,"Loyal Customers"
13430,19,2,679.45,"New / Recent Customers"
13431,68,2,1269.10,"Lost / Inactive"
13434,75,2,534.24,"Lost / Inactive"
13435,6,7,3809.89,"Champions"
13436,2,1,196.89,"New / Recent Customers"
13437,15,7,3408.06,"Champions"
13439,256,1,283.71,"Lost / Inactive"
13441,92,1,296.64,"At Risk Customers"
13447,24,3,1129.14,"Loyal Customers"
13448,17,6,3539.37,"Champions"
13449,24,1,291.88,"New / Recent Customers"
13450,27,6,2043.72,"Champions"
13451,27,5,2976.15,"Champions"
13452,260,2,590.00,"Lost / Inactive"
13453,166,2,356.98,"At Risk Customers"
13455,25,2,1058.34,"New / Recent Customers"
13456,18,6,1766.72,"Champions"
13458,8,14,9646.57,"Champions"
13460,30,2,183.44,"New / Recent Customers"
13461,39,3,1445.00,"Loyal Customers"
13462,253,1,151.50,"Lost / Inactive"
13464,59,1,674.68,"Lost / Inactive"
13466,185,1,307.90,"Lost / Inactive"
13467,11,2,1083.71,"New / Recent Customers"
13468,2,37,5704.97,"Champions"
13470,100,2,165.00,"At Risk Customers"
13471,2,4,2531.58,"Loyal Customers"
13473,61,2,422.64,"Lost / Inactive"
13474,237,1,229.59,"Lost / Inactive"
13475,192,4,1431.78,"Lost / Inactive"
13476,179,2,1238.47,"At Risk Customers"
13477,38,6,1454.58,"Loyal Customers"
13479,201,2,300.95,"Lost / Inactive"
13481,46,5,1804.56,"Loyal Customers"
13482,233,1,184.64,"Lost / Inactive"
13483,66,1,140.34,"Lost / Inactive"
13484,242,1,313.80,"Lost / Inactive"
13485,234,1,454.24,"Lost / Inactive"
13486,79,3,1122.41,"Loyal Customers"
13487,58,3,575.40,"Loyal Customers"
13488,18,13,8968.31,"Champions"
13489,106,4,449.52,"At Risk Customers"
13491,52,10,1215.82,"Loyal Customers"
13492,137,3,1269.84,"At Risk Customers"
13493,276,2,618.63,"Lost / Inactive"
13494,312,1,316.26,"Lost / Inactive"
13495,8,5,2044.87,"Champions"
13496,11,2,653.33,"New / Recent Customers"
13497,283,2,348.05,"Lost / Inactive"
13499,18,5,1159.11,"Champions"
13500,24,3,1166.77,"Loyal Customers"
13501,289,1,1340.32,"Lost / Inactive"
13502,17,3,292.00,"Loyal Customers"
13503,72,1,216.85,"Lost / Inactive"
13504,65,1,295.93,"Lost / Inactive"
13505,73,4,4393.63,"Loyal Customers"
13506,317,2,458.52,"Lost / Inactive"
13507,4,4,2479.16,"Loyal Customers"
13508,244,1,110.97,"Lost / Inactive"
13509,9,7,979.72,"Champions"
13510,2,4,1791.56,"Loyal Customers"
13512,261,1,251.21,"Lost / Inactive"
13513,127,1,205.10,"At Risk Customers"
13514,74,1,152.20,"Lost / Inactive"
13515,73,4,891.12,"Loyal Customers"
13516,22,3,1389.41,"Loyal Customers"
13517,60,3,2128.42,"Loyal Customers"
13518,86,1,659.44,"Lost / Inactive"
13519,79,1,122.75,"Lost / Inactive"
13520,59,6,3624.35,"Loyal Customers"
13521,2,3,1093.65,"Loyal Customers"
13522,31,1,125.80,"Lost / Inactive"
13523,34,5,3964.88,"Loyal Customers"
13524,41,5,680.18,"Loyal Customers"
13525,15,2,628.78,"New / Recent Customers"
13527,34,7,2287.51,"Loyal Customers"
13529,79,2,307.76,"Lost / Inactive"
13531,206,2,483.80,"Lost / Inactive"
13532,34,1,210.31,"Lost / Inactive"
13533,183,3,270.79,"Lost / Inactive"
13534,3,25,5870.08,"Champions"
13536,2,7,3448.29,"Champions"
13538,44,7,1280.85,"Loyal Customers"
13539,86,3,631.34,"Loyal Customers"
13544,40,2,291.41,"Lost / Inactive"
13546,13,3,626.99,"Loyal Customers"
13548,97,2,682.41,"At Risk Customers"
13549,26,7,918.20,"Champions"
13551,320,1,91.80,"Lost / Inactive"
13552,67,12,3740.07,"Loyal Customers"
13555,74,4,4149.28,"Loyal Customers"
13557,29,2,584.06,"New / Recent Customers"
13558,6,4,605.06,"Loyal Customers"
13560,8,1,174.37,"New / Recent Customers"
13561,216,1,141.86,"Lost / Inactive"
13562,82,3,1799.33,"Loyal Customers"
13563,85,2,777.53,"Lost / Inactive"
13564,145,3,1749.02,"At Risk Customers"
13565,20,2,240.22,"New / Recent Customers"
13566,41,2,874.71,"Lost / Inactive"
13568,174,1,192.85,"At Risk Customers"
13569,18,2,373.75,"New / Recent Customers"
13570,244,1,239.49,"Lost / Inactive"
13571,13,12,2092.32,"Champions"
13572,206,1,1384.25,"Lost / Inactive"
13573,51,2,294.40,"Lost / Inactive"
13575,24,5,732.07,"Champions"
13576,11,18,6717.34,"Champions"
13577,26,4,1687.60,"Loyal Customers"
13579,15,2,467.04,"New / Recent Customers"
13581,310,1,118.00,"Lost / Inactive"
13583,156,1,781.03,"At Risk Customers"
13584,307,1,142.40,"Lost / Inactive"
13587,64,1,712.40,"Lost / Inactive"
13588,16,9,2478.95,"Champions"
13589,15,2,379.65,"New / Recent Customers"
13590,12,6,1981.92,"Champions"
13591,65,3,1117.13,"Loyal Customers"
13592,36,4,247.96,"Loyal Customers"
13593,109,5,2037.08,"At Risk Customers"
13594,53,1,396.97,"Lost / Inactive"
13596,6,2,697.04,"New / Recent Customers"
13598,48,1,180.17,"Lost / Inactive"
13599,2,21,5153.67,"Champions"
13600,313,1,219.52,"Lost / Inactive"
13601,46,2,693.32,"Lost / Inactive"
13602,65,1,428.89,"Lost / Inactive"
13603,27,1,164.34,"New / Recent Customers"
13606,30,3,280.54,"Loyal Customers"
13607,41,1,678.01,"Lost / Inactive"
13610,13,7,1131.88,"Champions"
13611,90,3,1171.80,"Loyal Customers"
13614,25,4,1610.46,"Loyal Customers"
13615,319,1,417.69,"Lost / Inactive"
13617,41,3,544.18,"Loyal Customers"
13618,174,1,177.34,"At Risk Customers"
13621,117,1,213.85,"At Risk Customers"
13623,31,5,747.78,"Loyal Customers"
13626,253,1,257.23,"Lost / Inactive"
13627,60,5,1638.47,"Loyal Customers"
13629,24,11,7792.36,"Champions"
13630,6,7,2031.78,"Champions"
13631,100,11,3070.42,"At Risk Customers"
13632,25,5,2121.27,"Champions"
13634,34,5,1575.16,"Loyal Customers"
13635,68,1,1071.03,"Lost / Inactive"
13636,37,5,949.12,"Loyal Customers"
13637,53,3,810.50,"Loyal Customers"
13638,16,1,122.64,"New / Recent Customers"
13639,75,1,1033.34,"Lost / Inactive"
13642,216,1,354.80,"Lost / Inactive"
13643,32,3,519.44,"Loyal Customers"
13644,17,4,2624.26,"Loyal Customers"
13645,121,1,252.10,"At Risk Customers"
13647,10,4,1678.12,"Loyal Customers"
13649,257,2,346.60,"Lost / Inactive"
13650,17,6,1836.34,"Champions"
13651,36,2,94.20,"Lost / Inactive"
13652,46,3,1095.08,"Loyal Customers"
13654,44,6,2707.33,"Loyal Customers"
13655,115,2,932.97,"At Risk Customers"
13656,165,2,379.65,"At Risk Customers"
13657,11,2,382.14,"New / Recent Customers"
13658,10,5,2639.17,"Champions"
13659,206,2,1573.20,"Lost / Inactive"
13662,86,3,897.76,"Loyal Customers"
13663,180,1,189.47,"At Risk Customers"
13666,61,3,84.65,"Loyal Customers"
13667,150,1,305.02,"At Risk Customers"
13668,3,21,6363.59,"Champions"
13669,51,2,218.55,"Lost / Inactive"
13670,76,1,349.70,"Lost / Inactive"
13672,302,2,186.39,"Lost / Inactive"
13673,19,2,396.92,"New / Recent Customers"
13675,152,2,486.82,"At Risk Customers"
13678,152,1,232.60,"At Risk Customers"
13680,2,4,3722.42,"Loyal Customers"
13681,18,4,827.83,"Loyal Customers"
13682,188,1,59.50,"Lost / Inactive"
13684,286,1,67.23,"Lost / Inactive"
13685,3,7,3119.44,"Champions"
13686,183,1,72.00,"Lost / Inactive"
13689,64,1,910.00,"Lost / Inactive"
13690,60,1,172.25,"Lost / Inactive"
13692,25,3,1488.32,"Loyal Customers"
13694,4,50,65039.62,"Champions"
13695,32,15,2504.13,"Loyal Customers"
13697,39,1,151.30,"Lost / Inactive"
13699,156,1,308.58,"At Risk Customers"
13700,27,10,2265.12,"Champions"
13703,319,1,99.50,"Lost / Inactive"
13704,6,9,2308.06,"Champions"
13705,8,3,711.86,"Loyal Customers"
13706,303,1,330.79,"Lost / Inactive"
13707,268,2,806.41,"Lost / Inactive"
13708,272,1,296.88,"Lost / Inactive"
13709,4,13,6328.05,"Champions"
13710,32,1,180.48,"Lost / Inactive"
13711,219,2,252.06,"Lost / Inactive"
13712,247,1,228.84,"Lost / Inactive"
13715,282,5,1079.34,"Lost / Inactive"
13716,270,1,138.28,"Lost / Inactive"
13717,33,6,1445.01,"Loyal Customers"
13718,247,2,306.55,"Lost / Inactive"
13719,16,5,1041.68,"Champions"
13720,117,4,799.90,"At Risk Customers"
13721,37,1,524.14,"Lost / Inactive"
13722,132,3,2375.41,"At Risk Customers"
13723,218,1,199.85,"Lost / Inactive"
13725,50,8,1980.56,"Loyal Customers"
13726,39,2,1079.66,"Lost / Inactive"
13727,29,2,333.48,"New / Recent Customers"
13728,37,6,1016.14,"Loyal Customers"
13730,136,2,752.60,"At Risk Customers"
13731,220,2,610.59,"Lost / Inactive"
13732,29,1,491.86,"New / Recent Customers"
13735,25,4,2885.24,"Loyal Customers"
13736,6,2,731.90,"New / Recent Customers"
13737,201,1,339.60,"Lost / Inactive"
13739,19,1,216.90,"New / Recent Customers"
13740,241,1,350.75,"Lost / Inactive"
13741,72,3,668.43,"Loyal Customers"
13742,17,12,3131.02,"Champions"
13743,3,7,1341.60,"Champions"
13744,96,2,1156.36,"At Risk Customers"
13745,163,1,300.04,"At Risk Customers"
13747,374,1,79.60,"Lost / Inactive"
13748,96,5,948.25,"At Risk Customers"
13750,54,5,1647.26,"Loyal Customers"
13751,289,1,296.25,"Lost / Inactive"
13752,125,6,1186.28,"At Risk Customers"
13753,288,1,741.26,"Lost / Inactive"
13754,152,2,282.60,"At Risk Customers"
13755,4,9,2161.35,"Champions"
13756,3,14,5189.52,"Champions"
13758,12,7,3190.55,"Champions"
13759,34,2,659.41,"Lost / Inactive"
13760,55,2,286.79,"Lost / Inactive"
13761,51,2,1070.65,"Lost / Inactive"
13762,219,1,306.72,"Lost / Inactive"
13763,64,1,1714.96,"Lost / Inactive"
13764,71,3,1521.76,"Loyal Customers"
13767,3,37,17220.36,"Champions"
13769,3,10,2796.51,"Champions"
13771,65,4,2634.45,"Loyal Customers"
13772,34,3,1132.13,"Loyal Customers"
13774,82,1,345.00,"Lost / Inactive"
13777,1,33,25977.16,"Champions"
13778,104,1,178.70,"At Risk Customers"
13780,8,2,360.01,"New / Recent Customers"
13781,251,1,127.84,"Lost / Inactive"
13782,13,6,912.00,"Champions"
13784,10,11,2462.79,"Champions"
13786,368,1,230.40,"Lost / Inactive"
13787,76,2,309.04,"Lost / Inactive"
13790,5,1,348.80,"New / Recent Customers"
13791,128,2,1516.00,"At Risk Customers"
13792,67,2,195.55,"Lost / Inactive"
13798,2,57,37153.85,"Champions"
13799,117,2,688.86,"At Risk Customers"
13800,310,1,558.32,"Lost / Inactive"
13801,67,1,324.80,"Lost / Inactive"
13802,139,3,4599.42,"At Risk Customers"
13803,256,1,277.07,"Lost / Inactive"
13804,31,7,2635.79,"Loyal Customers"
13805,53,2,924.60,"Lost / Inactive"
13806,64,1,256.38,"Lost / Inactive"
13807,368,1,112.60,"Lost / Inactive"
13808,6,5,1747.66,"Champions"
13809,306,1,155.05,"Lost / Inactive"
13810,29,3,1499.01,"Loyal Customers"
13811,184,3,814.50,"Lost / Inactive"
13812,43,3,539.00,"Loyal Customers"
13813,40,4,1366.86,"Loyal Customers"
13814,93,2,1579.12,"At Risk Customers"
13815,23,4,4027.36,"Loyal Customers"
13816,24,2,571.67,"New / Recent Customers"
13817,30,2,382.98,"New / Recent Customers"
13819,302,3,1140.35,"Lost / Inactive"
13821,145,2,385.64,"At Risk Customers"
13822,6,2,632.00,"New / Recent Customers"
13823,19,2,957.66,"New / Recent Customers"
13824,33,5,1698.94,"Loyal Customers"
13826,177,1,189.50,"At Risk Customers"
13827,58,3,412.05,"Loyal Customers"
13828,23,1,209.49,"New / Recent Customers"
13831,17,6,2202.99,"Champions"
13832,20,1,52.20,"New / Recent Customers"
13833,160,1,384.80,"At Risk Customers"
13835,26,4,834.57,"Loyal Customers"
13837,212,2,271.24,"Lost / Inactive"
13838,6,4,691.73,"Loyal Customers"
13841,253,1,85.00,"Lost / Inactive"
13842,59,9,3385.62,"Loyal Customers"
13844,12,1,361.62,"New / Recent Customers"
13845,65,1,312.98,"Lost / Inactive"
13846,25,3,865.06,"Loyal Customers"
13848,93,3,1255.00,"At Risk Customers"
13849,52,2,1537.95,"Lost / Inactive"
13850,130,1,1595.48,"At Risk Customers"
13851,96,3,2651.46,"At Risk Customers"
13853,58,1,1090.14,"Lost / Inactive"
13854,9,25,8109.52,"Champions"
13856,169,3,388.50,"At Risk Customers"
13858,58,1,216.17,"Lost / Inactive"
13859,327,1,201.16,"Lost / Inactive"
13860,2,5,1245.90,"Champions"
13862,19,8,2209.36,"Champions"
13863,248,1,305.78,"Lost / Inactive"
13865,59,4,501.56,"Loyal Customers"
13866,75,1,145.67,"Lost / Inactive"
13867,32,3,1015.29,"Loyal Customers"
13868,8,2,3192.54,"New / Recent Customers"
13869,124,4,3104.95,"At Risk Customers"
13870,3,8,2770.94,"Champions"
13871,23,13,6403.25,"Champions"
13873,120,3,389.60,"At Risk Customers"
13874,359,1,540.45,"Lost / Inactive"
13875,54,5,1786.79,"Loyal Customers"
13876,64,1,122.70,"Lost / Inactive"
13877,87,1,117.24,"Lost / Inactive"
13878,55,1,1281.53,"Lost / Inactive"
13880,22,13,3219.77,"Champions"
13881,4,20,17159.52,"Champions"
13882,3,5,1191.13,"Champions"
13883,11,5,2674.48,"Champions"
13884,8,5,787.60,"Champions"
13885,190,2,506.80,"Lost / Inactive"
13886,72,1,243.56,"Lost / Inactive"
13887,205,1,349.55,"Lost / Inactive"
13888,120,2,605.63,"At Risk Customers"
13889,93,1,416.90,"At Risk Customers"
13890,2,10,1883.81,"Champions"
13892,27,4,632.97,"Loyal Customers"
13893,298,1,821.10,"Lost / Inactive"
13894,24,3,564.62,"Loyal Customers"
13895,29,4,2593.07,"Loyal Customers"
13897,51,1,311.16,"Lost / Inactive"
13898,326,1,155.93,"Lost / Inactive"
13899,17,2,388.52,"New / Recent Customers"
13900,184,3,740.95,"Lost / Inactive"
13901,73,5,2867.20,"Loyal Customers"
13904,38,2,332.64,"Lost / Inactive"
13908,80,4,2369.55,"Loyal Customers"
13911,58,9,2580.91,"Loyal Customers"
13914,12,2,626.45,"New / Recent Customers"
13917,50,2,272.04,"Lost / Inactive"
13918,50,2,1212.84,"Lost / Inactive"
13919,60,2,384.81,"Lost / Inactive"
13922,352,1,172.25,"Lost / Inactive"
13923,54,1,351.13,"Lost / Inactive"
13924,2,6,1838.85,"Champions"
13925,93,4,678.25,"At Risk Customers"
13926,24,1,223.85,"New / Recent Customers"
13927,75,1,348.99,"Lost / Inactive"
13928,11,4,464.57,"Loyal Customers"
13929,170,2,842.65,"At Risk Customers"
13930,58,2,337.34,"Lost / Inactive"
13931,96,2,1237.53,"At Risk Customers"
13932,295,1,307.40,"Lost / Inactive"
13933,110,2,608.79,"At Risk Customers"
13934,264,1,922.10,"Lost / Inactive"
13936,180,1,376.58,"At Risk Customers"
13937,170,1,158.85,"At Risk Customers"
13938,36,1,71.66,"Lost / Inactive"
13939,24,3,568.55,"Loyal Customers"
13940,18,4,839.14,"Loyal Customers"
13941,22,5,5112.96,"Champions"
13946,80,3,561.57,"Loyal Customers"
13947,66,1,90.60,"Lost / Inactive"
13948,361,1,102.00,"Lost / Inactive"
13949,3,6,2427.32,"Champions"
13950,12,4,745.06,"Loyal Customers"
13951,177,3,674.45,"At Risk Customers"
13952,218,2,3251.07,"Lost / Inactive"
13953,8,7,3515.68,"Champions"
13954,2,2,439.92,"New / Recent Customers"
13955,155,2,322.96,"At Risk Customers"
13956,6,5,1026.42,"Champions"
13959,80,3,598.20,"Loyal Customers"
13960,22,2,230.22,"New / Recent Customers"
13962,22,2,169.55,"New / Recent Customers"
13963,309,4,664.54,"Lost / Inactive"
13967,146,1,80.70,"At Risk Customers"
13969,8,18,9053.94,"Champions"
13971,19,8,2758.26,"Champions"
13972,71,2,190.25,"Lost / Inactive"
13973,288,1,264.70,"Lost / Inactive"
13974,50,1,413.59,"Lost / Inactive"
13975,32,6,2526.28,"Loyal Customers"
13976,207,1,357.98,"Lost / Inactive"
13978,15,2,196.79,"New / Recent Customers"
13979,74,1,869.87,"Lost / Inactive"
13980,61,1,200.14,"Lost / Inactive"
13982,40,4,1871.81,"Loyal Customers"
13983,30,12,2603.43,"Champions"
13984,27,5,920.51,"Champions"
13985,5,15,7060.13,"Champions"
13986,18,1,320.46,"New / Recent Customers"
13988,20,6,4147.96,"Champions"
13989,66,2,1266.08,"Lost / Inactive"
13990,214,1,311.30,"Lost / Inactive"
13991,13,6,855.97,"Champions"
13992,31,1,76.80,"Lost / Inactive"
13993,43,9,3466.36,"Loyal Customers"
13994,4,6,2313.14,"Champions"
13995,16,5,1393.69,"Champions"
13999,11,12,3901.81,"Champions"
14000,212,1,635.66,"Lost / Inactive"
14001,46,3,2043.08,"Loyal Customers"
14002,135,2,529.73,"At Risk Customers"
14004,44,7,4582.64,"Loyal Customers"
14005,10,5,2874.72,"Champions"
14006,116,3,962.19,"At Risk Customers"
14009,199,2,695.61,"Lost / Inactive"
14012,278,1,328.80,"Lost / Inactive"
14013,111,3,473.02,"At Risk Customers"
14014,78,1,505.18,"Lost / Inactive"
14015,53,1,917.34,"Lost / Inactive"
14016,162,4,4341.21,"At Risk Customers"
14019,47,3,1421.61,"Loyal Customers"
14020,17,2,642.80,"New / Recent Customers"
14021,156,3,631.90,"At Risk Customers"
14022,226,1,440.00,"Lost / Inactive"
14023,8,2,584.07,"New / Recent Customers"
14024,122,2,327.70,"At Risk Customers"
14027,61,1,104.82,"Lost / Inactive"
14029,64,2,467.66,"Lost / Inactive"
14030,19,8,2360.09,"Champions"
14031,8,19,17286.86,"Champions"
14032,3,11,2975.59,"Champions"
14034,23,3,651.82,"Loyal Customers"
14035,29,5,1428.02,"Champions"
14036,285,1,626.65,"Lost / Inactive"
14037,177,2,147.20,"At Risk Customers"
14038,79,3,1560.38,"Loyal Customers"
14039,34,1,152.20,"Lost / Inactive"
14040,41,12,3614.92,"Loyal Customers"
14041,267,1,141.41,"Lost / Inactive"
14044,27,4,652.82,"Loyal Customers"
14045,110,4,1659.75,"At Risk Customers"
14046,285,1,154.99,"Lost / Inactive"
14047,9,5,1308.61,"Champions"
14048,306,1,409.93,"Lost / Inactive"
14049,17,4,5681.72,"Loyal Customers"
14050,32,2,746.36,"Lost / Inactive"
14051,1,23,15610.39,"Champions"
14052,20,1,225.36,"New / Recent Customers"
14053,125,2,260.25,"At Risk Customers"
14054,66,1,92.46,"Lost / Inactive"
14055,107,1,725.64,"At Risk Customers"
14056,2,23,8214.65,"Champions"
14057,24,17,6217.96,"Champions"
14059,267,1,183.60,"Lost / Inactive"
14060,5,19,6140.42,"Champions"
14062,10,12,10464.85,"Champions"
14064,30,5,1353.74,"Champions"
14066,267,1,152.55,"Lost / Inactive"
14067,64,2,374.70,"Lost / Inactive"
14068,321,1,265.85,"Lost / Inactive"
14071,4,8,1438.82,"Champions"
14073,33,1,151.04,"Lost / Inactive"
14075,5,3,942.26,"Loyal Customers"
14076,130,1,122.47,"At Risk Customers"
14077,41,5,499.42,"Loyal Customers"
14078,102,6,1049.37,"At Risk Customers"
14079,125,1,375.10,"At Risk Customers"
14080,33,1,45.60,"Lost / Inactive"
14081,303,2,934.52,"Lost / Inactive"
14082,365,1,182.25,"Lost / Inactive"
14083,5,9,1018.43,"Champions"
14085,3,18,4448.54,"Champions"
14087,3,1,194.42,"New / Recent Customers"
14088,11,13,50491.81,"Champions"
14089,57,1,161.00,"Lost / Inactive"
14090,325,1,76.32,"Lost / Inactive"
14092,8,14,4076.91,"Champions"
14093,13,1,442.85,"New / Recent Customers"
14096,5,17,65164.79,"Champions"
14098,37,1,147.35,"Lost / Inactive"
14099,17,11,3104.17,"Champions"
14100,138,1,194.90,"At Risk Customers"
14101,74,6,5976.79,"Loyal Customers"
14102,6,5,1360.28,"Champions"
14104,155,2,216.21,"At Risk Customers"
14105,240,1,1266.23,"Lost / Inactive"
14107,52,7,2703.23,"Loyal Customers"
14108,31,2,597.91,"Lost / Inactive"
14109,73,1,144.20,"Lost / Inactive"
14110,4,12,5683.15,"Champions"
14111,15,4,692.85,"Loyal Customers"
14112,23,7,2915.15,"Champions"
14113,4,4,1840.42,"Loyal Customers"
14114,274,2,386.53,"Lost / Inactive"
14116,20,5,1382.74,"Champions"
14117,144,1,90.00,"At Risk Customers"
14121,4,4,2780.15,"Loyal Customers"
14124,85,1,419.58,"Lost / Inactive"
14125,11,3,2740.43,"Loyal Customers"
14126,8,3,706.13,"Loyal Customers"
14127,123,3,709.71,"At Risk Customers"
14128,61,2,637.50,"Lost / Inactive"
14129,2,5,1123.86,"Champions"
14130,320,1,483.86,"Lost / Inactive"
14132,3,11,3586.03,"Champions"
14133,130,3,605.64,"At Risk Customers"
14135,2,15,4690.31,"Champions"
14138,2,2,982.38,"New / Recent Customers"
14139,47,1,415.82,"Lost / Inactive"
14140,4,2,935.05,"New / Recent Customers"
